,date_id,day,week,month,year,season,weekend,weekday,quarter,semester,holiday
205,2052016,2,2,5,2016,Spring,Work Day,Monday,Q2,S1,Not Holiday
208,22012016,22,4,1,2016,Winter,Work Day,Friday,Q1,S1,Not Holiday
211,13022008,13,3,2,2008,Winter,Work Day,Wednesday,Q1,S1,Not Holiday
213,13042019,13,2,4,2019,Spring,Weekend,Saturday,Q2,S1,Holiday
215,23012015,23,4,1,2015,Winter,Work Day,Friday,Q1,S1,Not Holiday
216,8082017,8,2,8,2017,Summer,Work Day,Tuesday,Q3,S2,Not Holiday
217,23092016,23,4,9,2016,Autumn,Work Day,Friday,Q3,S2,Not Holiday
218,29062016,29,5,6,2016,Summer,Work Day,Wednesday,Q2,S1,Not Holiday
219,16042015,16,3,4,2015,Spring,Work Day,Thursday,Q2,S1,Not Holiday
220,30082016,30,5,8,2016,Summer,Work Day,Tuesday,Q3,S2,Not Holiday
221,26022014,26,5,2,2014,Winter,Work Day,Wednesday,Q1,S1,Not Holiday
222,15102014,15,3,10,2014,Autumn,Work Day,Wednesday,Q4,S2,Not Holiday
223,14082012,14,3,8,2012,Summer,Work Day,Tuesday,Q3,S2,Not Holiday
224,26032015,26,5,3,2015,Spring,Work Day,Thursday,Q1,S1,Not Holiday
225,15022017,15,3,2,2017,Winter,Work Day,Wednesday,Q1,S1,Not Holiday
227,10072017,10,3,7,2017,Summer,Work Day,Monday,Q3,S2,Not Holiday
228,31082018,31,5,8,2018,Summer,Work Day,Friday,Q3,S2,Not Holiday
229,2082012,2,1,8,2012,Summer,Work Day,Thursday,Q3,S2,Not Holiday
232,19082015,19,4,8,2015,Summer,Work Day,Wednesday,Q3,S2,Not Holiday
233,10082018,10,2,8,2018,Summer,Work Day,Friday,Q3,S2,Not Holiday
234,2022016,2,1,2,2016,Winter,Work Day,Tuesday,Q1,S1,Not Holiday
236,2062016,2,1,6,2016,Summer,Work Day,Thursday,Q2,S1,Not Holiday
237,3082015,3,2,8,2015,Summer,Work Day,Monday,Q3,S2,Not Holiday
238,17102018,17,3,10,2018,Autumn,Work Day,Wednesday,Q4,S2,Not Holiday
239,17112015,17,4,11,2015,Autumn,Work Day,Tuesday,Q4,S2,Not Holiday
240,1032016,1,1,3,2016,Spring,Work Day,Tuesday,Q1,S1,Not Holiday
241,8062017,8,2,6,2017,Summer,Work Day,Thursday,Q2,S1,Not Holiday
