,ID,Property
800,1692949,171
801,1695056,76
802,3097810,172
803,1701395,92
804,1701590,27
805,1703240,173
806,1720796,54
807,1721829,51
808,1726473,22
809,1726996,1
810,1727325,174
811,1731305,102
812,4389194,175
813,1733994,1
814,28924228,15
815,1735993,49
816,1737527,1
817,1745355,7
818,1754700,7
819,1760518,2
820,1763340,6
821,1766455,139
822,1766590,15
823,1767257,18
824,1773997,1
825,1778724,40
826,1792236,99
827,1794411,85
828,1792764,40
829,1793284,36
830,1793386,176
831,38767206,33
832,1796065,13
833,1801264,177
834,1905337,178
835,13390928,19
836,23385900,179
837,1814164,2
838,1820114,27
839,1826325,49
840,1846735,1
841,1855225,2
842,1855257,40
843,1855526,23
844,1869774,22
845,1891486,1
846,1892459,1
847,1897824,22
848,1900295,14
849,1912564,180
850,1915721,10
851,1916892,2
852,1923267,6
853,2768087,15
854,6669468,27
855,1933183,23
856,1937934,33
857,1938376,181
858,1938910,27
859,1946199,182
860,1947268,18
861,1947812,78
862,1948954,2
863,1954421,49
864,22631864,2
865,1958234,7
866,1960274,2
867,4235751,15
868,1960436,2
869,1963652,4
870,1965533,13
871,1968490,26
872,1978155,126
873,1978974,102
874,1980700,180
875,1989174,19
876,1992919,39
877,1994415,49
878,1998055,116
879,2000279,1
880,2006802,183
881,2010793,110
882,2018684,146
883,2476394,184
884,2020019,2
885,2022380,111
886,2022636,10
887,2022716,2
888,2032759,10
889,2035747,147
890,2036114,7
891,2041499,10
892,2042416,10
893,2047800,15
894,2052680,2
895,8550453,6
896,23398232,32
897,2063430,84
898,2066189,40
899,14010799,185
900,2075134,1
901,2076439,186
902,2083162,39
903,2085110,10
904,2086310,10
905,2086358,6
906,2091279,1
907,19557999,20
908,19621250,20
909,19628415,20
910,2099603,33
911,2111639,33
912,2117061,39
913,2122976,13
914,2135632,26
915,2140785,9
916,2144662,8
917,2150306,7
918,2162487,5
919,2167380,10
920,2172693,33
921,2172762,33
922,2175640,5
923,2179372,7
924,2196683,187
925,2198042,132
926,2202785,40
927,2203375,40
928,2203498,10
929,2212624,36
930,2214778,36
931,2215299,10
932,2232026,20
933,2226934,27
934,2239346,188
935,3570423,188
936,3570694,188
937,4050866,188
938,13460188,188
939,14003138,188
940,2251675,15
941,2252415,2
942,2283411,189
943,2290869,6
944,2291663,1
945,2307288,15
946,2307863,27
947,2327858,32
948,2329059,1
949,2335209,190
950,2336040,51
951,2336193,7
952,2337625,42
953,2338823,191
954,2343839,40
955,2349587,192
956,2358037,122
957,2364547,17
958,2368850,112
959,3090804,112
960,2386685,7
961,2390382,6
962,2394760,18
963,2400599,124
964,2424638,6
965,2428199,40
966,2429823,40
967,2437087,7
968,2449827,10
969,2454111,193
970,2455699,194
971,2458703,195
972,2461109,23
973,2467437,196
974,2471985,22
975,2475037,161
976,12236447,152
977,2476246,126
978,18110355,197
979,2477224,132
980,10594327,1
981,2483080,198
982,39407169,199
983,2502266,78
984,2514197,6
985,2518207,17
986,2530104,22
987,2535496,6
988,2536555,3
989,17540768,51
990,2543183,1
991,2546001,6
992,2550996,98
993,2556371,200
994,38337859,201
995,2559070,55
996,2560291,96
997,2561759,2
998,2570271,48
999,33105549,202
1000,2578323,73
1001,40914957,73
1002,40939449,203
1003,2581742,15
1004,2582274,40
1005,2590441,103
1006,2590924,6
1007,2593852,40
1008,19100382,49
1009,2598381,27
1010,2600393,7
1011,2600659,10
1012,2606042,39
1013,2608131,96
1014,2612285,20
1015,3905161,162
1016,3938206,20
1017,3938212,204
1018,3975346,20
1019,2626279,6
1020,2627642,2
1021,2631533,2
1022,2639240,63
1023,2640986,139
1024,39375505,15
1025,2647029,40
1026,2647545,26
1027,2650419,37
1028,2655671,6
1029,2656016,49
1030,2657847,205
1031,2670755,92
1032,16528904,31
1033,2674964,7
1034,2675912,40
1035,2676365,2
1036,2676889,27
1037,2680922,25
1038,2684366,15
1039,2684458,40
1040,2685942,206
1041,5260704,3
1042,2691697,6
1043,2693907,40
1044,2697122,36
1045,2700537,9
1046,2700676,40
1047,2702208,40
1048,2704476,27
1049,2707858,33
1050,2709495,6
1051,2712111,7
1052,2715022,1
1053,2716828,10
1054,2727861,40
1055,2734520,207
1056,2735205,61
1057,2735383,6
1058,2736157,183
1059,2752463,10
1060,2753139,139
1061,2753415,7
1062,22584068,27
1063,2756181,48
1064,2759584,40
1065,2761051,208
1066,5002214,209
1067,2767873,175
1068,2783329,50
1069,2783445,2
1070,2784611,6
1071,2788447,20
1072,2790464,14
1073,2792438,36
1074,2792615,27
1075,2793920,210
1076,2806399,82
1077,2809774,40
1078,2824005,2
1079,2833451,37
1080,2835371,40
1081,2840594,54
1082,2840997,10
1083,2842357,10
1084,2844935,132
1085,2847440,26
1086,2852011,98
1087,2853410,7
1088,2856829,2
1089,2861972,84
1090,12961386,84
1091,2869627,23
1092,2872009,27
1093,2875357,40
1094,2893594,20
1095,38933003,20
1096,2907184,27
1097,2907907,1
1098,2914944,6
