street,street_type,zip_code,parish,county,coastal_area
LARGO PADRE ANTÓNIO,Largo,2705-098,Azenhas do Mar,Sintra,Coastal Area
ESCADINHAS OLIVEIRA,Escadinhas,1200-306,Lisboa,Lisboa,Coastal Area
RUA PASCOAL DE MELO,Rua,1000-230,Lisboa,Lisboa,Coastal Area
IMPASSE JÚLIO DINIZ,Impasse,2705-167,Banzão,Sintra,Coastal Area
RUA ÁLVARO DOS REIS,Rua,2710-526,São Pedro,Sintra,Coastal Area
ACESSO CRUZES DA SÉ,,1100-192,Lisboa,Lisboa,Coastal Area
RUA CRUZ DOS POIAIS,Rua,1200-137,Lisboa,Lisboa,Coastal Area
RUA PINHEIRO CHAGAS,Rua,1050-175,Lisboa,Lisboa,Coastal Area
CALÇADINHA FIGUEIRA,Calçadinha,1100-239,Lisboa,Lisboa,Coastal Area
RUA CAETANO ALBERTO,Rua,1000-076,Lisboa,Lisboa,Coastal Area
RUA BENERAL TABORDA,Rua,1070-140,Lisboa,Lisboa,Coastal Area
RUA FERREIRA BORGES,Rua,1350-131,Lisboa,Lisboa,Coastal Area
BECO LAJE 15 2º DTº,Beco,1100-302,Lisboa,Lisboa,Coastal Area
RUA PRAIA DA ADRAGA,Rua,2705-063,Almoçageme,Sintra,Coastal Area
BECO LAJE 15 1º ESQ,Beco,1100-302,Lisboa,Lisboa,Coastal Area
BECO LAJE 15 1º DTO,Beco,1100-302,Lisboa,Lisboa,Coastal Area
RUA GENERAL TABORDA,Rua,1070-140,Lisboa,Lisboa,Coastal Area
"RUA DUQUE 19,21,21A",Rua,1200-158,Lisboa,Lisboa,Coastal Area
TRAVESSA ESCOLA LT.,,2640-059,Casais de Monte Bom,Mafra,Coastal Area
CALÇADA BARBADINHOS,Calçada,1170-043,Lisboa,Lisboa,Coastal Area
RUA TENENTE VALADIM,Rua,2750-502,Cascais,Cascais,Coastal Area
RUA ADIÇA 16 1º DTº,Rua,1100-008,Lisboa,Lisboa,Coastal Area
RUA PEDRAS NEGRAS 5,Rua,1100-401,Lisboa,Lisboa,Coastal Area
TRAVESSA DOS POIAIS,Travessa,1200-344,Lisboa,Lisboa,Coastal Area
RUA RUBEN A. LEITÃO,Rua,1200-392,Lisboa,Lisboa,Coastal Area
LARGO SÃO SEBASTIÃO,Largo,2655-364,Ericeira,Mafra,Coastal Area
RUA CARDAL SÃO JOSÉ,Rua,1150-088,Lisboa,Lisboa,Coastal Area
RUA RIBEIRO SANCHES,Rua,1200-786,Lisboa,Lisboa,Coastal Area
RUA SÃO FILIPE NERI,Largo,1250-186,Lisboa,Lisboa,Coastal Area
RUA 4 DE INFANTARIA,Rua,1350-266,Lisboa,Lisboa,Coastal Area
RUA VALE DE COELHOS,,2640-578,Casal da Serra,Mafra,Coastal Area
1ª RUA DE JOÃO BRÁS,Rua,1200-233,Lisboa,Lisboa,Coastal Area
RUA NORTE 93 3º DTO,Rua,1200-284,Lisboa,Lisboa,Coastal Area
RUA DA MISERICÓRDIA,Rua,1200-273,Lisboa,Lisboa,Coastal Area
RUA ALEXANDRE BRAGA,Rua,1150-004,Lisboa,Lisboa,Coastal Area
BECO BICA DO SAPATO,Beco,1100-091,Lisboa,Lisboa,Coastal Area
AVENIDA DOM JOÃO II,Avenida,1990-096,Lisboa,Lisboa,Coastal Area
RUA BORGES CARNEIRO,Rua,1200-619,Lisboa,Lisboa,Coastal Area
RUA S. PEDRO MÁRTIR,Rua,1100-555,Lisboa,Lisboa,Coastal Area
ALAMEDA 25 DE ABRIL,Avenida,2530-074,Lourinhã,Lourinhã,Coastal Area
RUA OS CANCIONEIROS,Rua,2705-152,Pinhal da Nazaré,Sintra,Coastal Area
TRAVESSA ANDORINHAS,Bairro,2560-001,A dos Cunhados,Torres Vedras,Coastal Area
PRAÇA DAS AMOREIRAS,Praça,1250-020,Lisboa,Lisboa,Coastal Area
RUA DAS SALGADEIRAS,Rua,1200-396,Lisboa,Lisboa,Coastal Area
RUA FERNANDES TOMÁS,Rua,1200-177,Lisboa,Lisboa,Coastal Area
TRAVESSA PASTELEIRO,Travessa,1200-754,Lisboa,Lisboa,Coastal Area
ESCADINHAS SÃO TOMÉ,Escadinhas,1100-560,Lisboa,Lisboa,Coastal Area
3ª RUA MARQUES LEAL,Rua,2750-430,Cascais,Cascais,Coastal Area
RUA SANT'ANA À LAPA,Rua,1200-797,Lisboa,Lisboa,Coastal Area
ESCADINHAS REMÉDIOS,Escadinhas,1100-440,Lisboa,Lisboa,Coastal Area
1ª RUA DOS REMÉDIOS,Rua,1100-315,Lisboa,Lisboa,Coastal Area
1ª RUA CRUZES DA SÉ,,1100-192,Lisboa,Lisboa,Coastal Area
RUA JOÃO DO OUTEIRO,Rua,1100-292,Lisboa,Lisboa,Coastal Area
1º BECO LOUREIRO 15,Beco,1100-313,Lisboa,Lisboa,Coastal Area
RUA TELHAL 21/23 1º,Rua,1150-345,Lisboa,Lisboa,Coastal Area
1ª RUA S. SEBASTIÃO,Travessa,2710-592,Sintra,Sintra,Coastal Area
RUA RUI COSTA LOPES,Rua,2560-505,Santa Cruz,Torres Vedras,Coastal Area
"RUA SÃO BOAVENTURA,",Rua,1200-407,Lisboa,Lisboa,Coastal Area
AVENIDA 24 DE JULHO,Pátio,1200-870,Lisboa,Lisboa,Coastal Area
RUA CARVALHO ARAUJO,Rua,2765-519,São Pedro do Estoril,Cascais,Coastal Area
RUA JOAQUIM MARQUES,Rua,2530-235,Praia da Areia Branca,Lourinhã,Coastal Area
RUA PASCOAL DE MELO,Rua,1170-294,Lisboa,Lisboa,Coastal Area
LARGO SANTO ESTEVÃO,Beco,1100-120,Lisboa,Lisboa,Coastal Area
TRAVESSA DOS BRUNOS,Travessa,1200-620,Lisboa,Lisboa,Coastal Area
RUA ALMEIDA BRANDÃO,Rua,1200-603,Lisboa,Lisboa,Coastal Area
LARGO SANTA MARINHA,Largo,1100-489,Lisboa,Lisboa,Coastal Area
AVENIDA MEM RAMIRES,Avenida,2765-337,Galiza,Cascais,Coastal Area
1ª RUA 7 RES DO CHÃ,Rua,1200-120,Lisboa,Lisboa,Coastal Area
RUA BARTOLOMEU DIAS,Rua,1400-031,Lisboa,Lisboa,Coastal Area
RUA CAPITÃO ROBY 18,Rua,1900-112,Lisboa,Lisboa,Coastal Area
"AVENIDA PÁDUA, 3-3A",Avenida,1800-294,Lisboa,Lisboa,Coastal Area
RUA PRISTA MONTEIRO,Rua,1600-792,Lisboa,Lisboa,Coastal Area
ZONA ESCOLAS GERAIS,,1100-214,Lisboa,Lisboa,Coastal Area
ESTRADA COOPERATIVA,,2590-230,Chã,Sobral de Monte Agraço,Not Coastal Area
3ª RUA FREITAS REIS,Rua,2750-357,Cascais,Cascais,Coastal Area
1ª RUA DO FERRAGIAL,Rua,1200-182,Lisboa,Lisboa,Coastal Area
RUA VALE 17 1º ESQ.,Rua,1200-472,Lisboa,Lisboa,Coastal Area
RUA HERÓIS DE DADRÁ,Rua,2720-274,Amadora,Amadora,Coastal Area
AVENIDA JOSÉ MALHOA,Avenida,1070-325,Lisboa,Lisboa,Coastal Area
AVENIDA JOSE MALHOA,Avenida,1070-325,Lisboa,Lisboa,Coastal Area
RUA PRATA 59 2º DTO,Rua,1100-413,Lisboa,Lisboa,Coastal Area
AVENIDA EUGENE LEVY,Avenida,2705-304,Praia das Maçãs,Sintra,Coastal Area
RUA SABINO DE SOUSA,Rua,1900-397,Lisboa,Lisboa,Coastal Area
1ª RUA 5 DE OUTUBRO,Rua,2655-255,Ericeira,Mafra,Coastal Area
PRAÇA FLORES 47 R/C,Praça,1200-192,Lisboa,Lisboa,Coastal Area
1ª RUA DAS FARINHAS,Rua,1100-237,Lisboa,Lisboa,Coastal Area
RUA COELHO DA ROCHA,Rua,1250-087,Lisboa,Lisboa,Coastal Area
RUA VOZ DO OPERÁRIO,Rua,1100-621,Lisboa,Lisboa,Coastal Area
TRAVESSA CALDEIRA 5,Pátio,1200-084,Lisboa,Lisboa,Coastal Area
PRACETA DA FIGUEIRA,Rua,2655-431,Ericeira,Mafra,Coastal Area
RUA GRÉMIO LUSITANO,Rua,1200-212,Lisboa,Lisboa,Coastal Area
CALÇADA BICA GRANDE,Praça,1200-425,Lisboa,Lisboa,Coastal Area
TRAVESSA FONTAÍNHAS,Travessa,1100-248,Lisboa,Lisboa,Coastal Area
1ª RUA CAIS DO TOJO,Praça,1200-425,Lisboa,Lisboa,Coastal Area
1ª RUA DOS ARNEIROS,Rua,1500-054,Lisboa,Lisboa,Coastal Area
TRAVESSA CARVALHO 1,Travessa,1200-097,Lisboa,Lisboa,Coastal Area
RUA CAPITÃO ROBY 20,Rua,1900-112,Lisboa,Lisboa,Coastal Area
TRAVESSA 1º DE MAIO,Rua,2655-400,Ericeira,Mafra,Coastal Area
PASSEIO ADAMASTOR 5,Passeio,1990-007,Lisboa,Lisboa,Coastal Area
RUA DOS INDUSTRIAIS,Rua,1200-685,Lisboa,Lisboa,Coastal Area
TRAVESSA ARCO JESUS,Travessa,1200-029,Lisboa,Lisboa,Coastal Area
1ª RUA DA QUINTINHA,Rua,1200-366,Lisboa,Lisboa,Coastal Area
TRAVESSA DA PEREIRA,Travessa,1170-313,Lisboa,Lisboa,Coastal Area
PRACETA MAR À VISTA,Rua,2640-046,Ribamar,Mafra,Coastal Area
1ª RUA CAPITAO ROBY,Rua,1900-381,Lisboa,Lisboa,Coastal Area
PÁTIO DOS CARRASCOS,Beco,1100-538,Lisboa,Lisboa,Coastal Area
RUA REMÉDIOS À LAPA,Rua,1200-782,Lisboa,Lisboa,Coastal Area
AVENIDA 25 DE ABRIL,Avenida,2735-415,Agualva-Cacém,Sintra,Coastal Area
RUA AQUILES MACHADO,Jardim,1900-077,Lisboa,Lisboa,Coastal Area
1ª RUA BACALHOEIROS,Rua,1100-068,Lisboa,Lisboa,Coastal Area
1ª RUA AUGUSTO ROSA,Pátio,1100-059,Lisboa,Lisboa,Coastal Area
PRAÇA NAVEGANTES LT,Praça,2655-320,Ericeira,Mafra,Coastal Area
BECO ESPÍRITO SANTO,Beco,1100-222,Lisboa,Lisboa,Coastal Area
TRAVESSA DA OFICINA,Travessa,2710-120,Cabriz,Sintra,Coastal Area
ESTRADA SERRALHEIRA,Estrada,2600-065,Vila Franca de Xira,Vila Franca de Xira,Coastal Area
1ª RUA SAO DOMINGOS,Rua,2765-143,Bairro de Santo António,Cascais,Coastal Area
"VILA VILA MAIA, RUA",Rua,1350-403,Lisboa,Lisboa,Coastal Area
1ª RUA ALBERTO TOTA,Rua,2705-298,Praia das Maçãs,Sintra,Coastal Area
AVENIDA JÚLIO DINIS,Avenida,1050-131,Lisboa,Lisboa,Coastal Area
RUA QUINTA DO COSME,Rua,2710-237,Galamares,Sintra,Coastal Area
1ª RUA DE VERA CRUZ,Rua,2780-305,Oeiras,Oeiras,Coastal Area
RUA NOVA DA PIEDADE,Rua,1200-299,Lisboa,Lisboa,Coastal Area
AVENIDA ÁLVARO PAIS,Avenida,1600-007,Lisboa,Lisboa,Coastal Area
RUA PENHA DE FRANÇA,Rua,1170-306,Lisboa,Lisboa,Coastal Area
RUA QUINTA DO CONDE,Caminho,2705-204,Colares,Sintra,Coastal Area
RUA SILVESTRE NUNES,Rua,2705-215,Mucifal,Sintra,Coastal Area
LARGO SANTOS-O-NOVO,Largo,1900-409,Lisboa,Lisboa,Coastal Area
RUA PAU DA BANDEIRA,Rua,1200-757,Lisboa,Lisboa,Coastal Area
RUA HANGAR 47 FRAC.,Rua,2765-416,Monte Estoril,Cascais,Coastal Area
RUA MANUEL DA SILVA,Rua,1750-927,Lisboa,Lisboa,Coastal Area
RUA GONÇALVES VIANA,Rua,1500-334,Lisboa,Lisboa,Coastal Area
RUA GONÇALVES ZARCO,Rua,1400-191,Lisboa,Lisboa,Coastal Area
RUA FORNO DO TIJOLO,Rua,1170-132,Lisboa,Lisboa,Coastal Area
LARGO LUGAR DA GUIA,Praceta,2750-274,Cascais,Cascais,Coastal Area
RUA ALTO DAS CHITAS,Rua,2565-471,Maxial,Torres Vedras,Not Coastal Area
RUA CARVALHO ARAÚJO,Rua,1900-137,Lisboa,Lisboa,Coastal Area
RUA VISCONDE SEABRA,Rua,1700-370,Lisboa,Lisboa,Coastal Area
RUA MOINHO DO PRIOR,Travessa,2655-030,Carvoeira,Mafra,Coastal Area
RUA SACADURA CABRAL,Bairro,2580-371,Alenquer,Alenquer,Not Coastal Area
RUA TRINDADE COELHO,Rua,2775-293,Parede,Cascais,Coastal Area
RUA AUGUSTO MACHADO,Rua,1900-078,Lisboa,Lisboa,Coastal Area
ESTRADA PRAIA VIGIA,Travessa,2560-007,A dos Cunhados,Torres Vedras,Coastal Area
RUA GERVÁSIO LOBATO,Rua,1350-151,Lisboa,Lisboa,Coastal Area
RUA ACÁCIAS NÚMEROS,Rua,2750-602,Cascais,Cascais,Coastal Area
RUA GOMES DE AMORIM,Rua,2710-569,Sintra,Sintra,Coastal Area
AVENIDA COSTA PINTO,Avenida,2750-329,Cascais,Cascais,Coastal Area
AVENIDA 25 DE ABRIL,Avenida,1675-183,Pontinha,Odivelas,Coastal Area
RUA TENENTE ESPANCA,Rua,1050-223,Lisboa,Lisboa,Coastal Area
RUA SACADURA CABRAL,Rua,2635-258,Rio de Mouro,Sintra,Coastal Area
AVENIDA 25 DE ABRIL,Avenida,2710-247,Galamares,Sintra,Coastal Area
VILA RIBEIRO SEABRA,Vila,1400-024,Lisboa,Lisboa,Coastal Area
LARGO SANTO ANTÓNIO,,2550-077,Vila Nova,Cadaval,Not Coastal Area
LARGO SANTO ESTÊVÃO,Rua,1100-508,Lisboa,Lisboa,Coastal Area
BOQUEIRÃO FERREIROS,Boqueirão,1200-185,Lisboa,Lisboa,Coastal Area
1ª RUA JAIME MENDES,Rua,1800-393,Lisboa,Lisboa,Coastal Area
RUA TENENTE VALADIM,Rua,1350-319,Lisboa,Lisboa,Coastal Area
AVENIDA DE S. PEDRO,Rua,2750-001,Cascais,Cascais,Coastal Area
RUA DIOGO BERNARDES,Rua,1700-127,Lisboa,Lisboa,Coastal Area
RUA COSTA PINTO BL.,Rua,2765-407,Monte Estoril,Cascais,Coastal Area
RUA QUINTA DO COSME,Rua,2705-210,Colares,Sintra,Coastal Area
RUA ACTOR JOÃO ROSA,Rua,1900-020,Lisboa,Lisboa,Coastal Area
RUA CIDADE BELGRADO,Rua,2735-448,Agualva-Cacém,Sintra,Coastal Area
ALAMEDA DO GOLFINHO,Alameda,2530-211,Praia da Areia Branca,Lourinhã,Coastal Area
AVENIDA DESCOBERTAS,Avenida,2670-383,Loures,Loures,Not Coastal Area
ESTRADA DE OUTURELA,Estrada,2790-116,Carnaxide,Oeiras,Coastal Area
RUA JOSÉ DE ALMEIDA,Rua,2640-494,Mafra,Mafra,Coastal Area
RUA REBELO DA SILVA,Rua,1000-254,Lisboa,Lisboa,Coastal Area
RUA ILHA DOS AMORES,Passeio,1990-377,Lisboa,Lisboa,Coastal Area
RUA HENRIQUE SEIXAS,Rua,2750-375,Cascais,Cascais,Coastal Area
RUA FERNANDO PESSOA,Rua,2755-223,Murches,Cascais,Coastal Area
AVENIDA ALVES REDOL,Avenida,2720-034,Amadora,Amadora,Coastal Area
RUA CRUZADO OSBERNO,Rua,1900-174,Lisboa,Lisboa,Coastal Area
1ª RUA JOAO DE DEUS,Rua,2710-579,Sintra,Sintra,Coastal Area
RUA COELHO DA ROCHA,Rua,1350-071,Lisboa,Lisboa,Coastal Area
PRACETA JOSÉ RELVAS,Praceta,2685-218,Portela,Loures,Coastal Area
RUA PADRE FRANCISCO,Rua,1350-226,Lisboa,Lisboa,Coastal Area
AVENIDA AIDA 353 BL,Avenida,2765-187,Estoril,Cascais,Coastal Area
RUA RAMALHO ORTIGÃO,Rua,1070-230,Lisboa,Lisboa,Coastal Area
RUA ACÚRCIO PEREIRA,Rua,1800-003,Lisboa,Lisboa,Coastal Area
RUA ANTÓNIA ANDRADE,Rua,1170-025,Lisboa,Lisboa,Coastal Area
RUA SACADURA CABRAL,Escadinhas,2710-530,Sintra,Sintra,Coastal Area
RUA CASAL DO PAIXÃO,Rua,2640-215,Encarnação,Mafra,Coastal Area
TRAVESSA DO AÇOUGUE,Travessa,1100-005,Lisboa,Lisboa,Coastal Area
RUA BENTO GONÇALVES,Rua,1950-353,Lisboa,Lisboa,Coastal Area
RUA VIEIRA LUSITANO,Rua,1070-278,Lisboa,Lisboa,Coastal Area
PRAÇA PRÍNCIPE REAL,Praça,1250-184,Lisboa,Lisboa,Coastal Area
RUA SANT'ANA À LAPA,Rua,1350-290,Lisboa,Lisboa,Coastal Area
RUA ALTO DA CABRITA,,2640-054,Bairro Alto,Mafra,Coastal Area
1ª RUA DAS PERDIZES,Rua,2750-704,Torre,Cascais,Coastal Area
RUA SÍTIO DA VÁRZEA,Rua,2620-253,Ramada,Odivelas,Not Coastal Area
RUA JASMIM 6 1º ESQ,Travessa,1200-230,Lisboa,Lisboa,Coastal Area
RUA DE SÃO BERNARDO,Rua,1200-825,Lisboa,Lisboa,Coastal Area
RUA GUILHERME FARIA,Rua,1700-222,Lisboa,Lisboa,Coastal Area
RUA SACADURA CABRAL,Rua,2775-626,Carcavelos,Cascais,Coastal Area
RUA DOM PEDRO D'EÇA,,2580-101,Aldeia Gavinha,Alenquer,Not Coastal Area
RUA CIDADE BENGUELA,Rua,1800-073,Lisboa,Lisboa,Coastal Area
RUA CARDEAL MERCIER,Rua,1600-025,Lisboa,Lisboa,Coastal Area
RUA DIOGO BERNARDES,Rua,2700-238,Amadora,Amadora,Coastal Area
AVENIDA DUQUE LOULÉ,Avenida,1069-153,Lisboa,Lisboa,Coastal Area
RUA PÁSCOA 16-PORTA,Rua,1250-179,Lisboa,Lisboa,Coastal Area
TRAVESSA LIVRAMENTO,Travessa,1350-190,Lisboa,Lisboa,Coastal Area
RUA ÁLVARO COUTINHO,Rua,1150-024,Lisboa,Lisboa,Coastal Area
RUA RUI DE SEQUEIRA,Rua,2750-190,Cascais,Cascais,Coastal Area
RUA MAESTRO LACERDA,Rua,2765-239,Estoril,Cascais,Coastal Area
RUA VIEIRA DA SILVA,Rua,2675-216,Odivelas,Odivelas,Coastal Area
RUA JOÃO DAS REGRAS,Rua,2750-383,Cascais,Cascais,Coastal Area
RUA RAMALHO ORTIGÃO,Rua,2785-152,Tires,Cascais,Coastal Area
RUA SOARES DOS REIS,Rua,1070-270,Lisboa,Lisboa,Coastal Area
CALÇADA SANTA MARIA,Calçada,2710-504,São Pedro,Sintra,Coastal Area
VIA ORIENTE 5.03.02,Via,1990-514,Lisboa,Lisboa,Coastal Area
RUA VILHENA BARBOSA,Rua,1000-285,Lisboa,Lisboa,Coastal Area
RUA ESCOLA PRIMÁRIA,Rua,2640-419,Mafra,Mafra,Coastal Area
"RUA ANGELINA VIDAL,",Rua,1170-020,Lisboa,Lisboa,Coastal Area
ESTRADA SANTA MARIA,Estrada,2705-691,Magoito,Sintra,Coastal Area
PRACETA JOSÉ AFONSO,Praceta,2775-058,Madorna,Cascais,Coastal Area
RUA NATÁLIA CORREIA,Rua,2775-131,Murtal,Cascais,Coastal Area
LARGO LATINO COELHO,Escadinhas,2710-585,Sintra,Sintra,Coastal Area
1ª RUA POETA MILTON,Rua,1170-321,Lisboa,Lisboa,Coastal Area
RUA CAMILO PESSANHA,Rua,1700-085,Lisboa,Lisboa,Coastal Area
RUA SACADURA CABRAL,Rua,1495-704,Cruz Quebrada,Oeiras,Coastal Area
1ª RUA MÁRIO VIEGAS,Rua,2755-058,Alcabideche,Cascais,Coastal Area
RUA VICENTE RIBEIRO,Rua,1900-436,Lisboa,Lisboa,Coastal Area
RUA CARRIL DE PAÇOS,,2665-417,Paços,Mafra,Coastal Area
AVENIDA DUQUE ÁVILA,Avenida,1050-084,Lisboa,Lisboa,Coastal Area
ALAMEDA PODER LOCAL,Alameda,2675-427,Odivelas,Odivelas,Coastal Area
AVENIDA 24 DE JUNHO,Avenida,2530-909,Praia da Areia Branca,Lourinhã,Coastal Area
RUA ESTADO DA ÍNDIA,Rua,2685-048,Sacavém,Loures,Coastal Area
RUA CARLOS MAZZETTI,Rua,2710-221,Galamares,Sintra,Coastal Area
RUA VIEIRA DA SILVA,Rua,1350-344,Lisboa,Lisboa,Coastal Area
RUA ANTÃO GONÇALVES,Rua,2750-152,Cascais,Cascais,Coastal Area
RUA CASAL DO PIOLHO,Travessa,2655-373,Ericeira,Mafra,Coastal Area
RUA BICA DO MARQUÊS,Rua,1300-087,Lisboa,Lisboa,Coastal Area
RUA FERNANDO SYLVAN,Rua,1500-273,Lisboa,Lisboa,Coastal Area
RUA CONTRABANDISTAS,Rua,1350-085,Lisboa,Lisboa,Coastal Area
LARGO CASAL VISTOSO,Largo,1900-142,Lisboa,Lisboa,Coastal Area
RUA MARGARIDA PALLA,Rua,1495-142,Miraflores,Oeiras,Coastal Area
RUA AREIAS DOURADAS,,2560-396,Praia Azul,Torres Vedras,Coastal Area
LARGO SANTA BÁRBARA,Largo,1150-287,Lisboa,Lisboa,Coastal Area
PRAÇA MARTIM MONIZ,Praça,1100-341,Lisboa,Lisboa,Coastal Area
1ª RUA DO TEIXEIRA,Rua,1200-459,Lisboa,Lisboa,Coastal Area
AVENIDA AFONSO III,Avenida,1900-040,Lisboa,Lisboa,Coastal Area
RUA PINTO FERREIRA,Rua,1300-465,Lisboa,Lisboa,Coastal Area
RUA PAULO REIS GIL,Rua,2745-195,Queluz,Sintra,Not Coastal Area
TRAVESSA MUNICÍPIO,Travessa,2710-592,Sintra,Sintra,Coastal Area
CALÇADA DE SANTANA,Calçada,1150-303,Lisboa,Lisboa,Coastal Area
RUA DUQUE 11 3 ESQ,Rua,1200-158,Lisboa,Lisboa,Coastal Area
RUA ROSA DAMASCENO,Rua,1900-395,Lisboa,Lisboa,Coastal Area
LARGO VASCO D'OREY,Largo,2775-535,Sassoeiros,Cascais,Coastal Area
RUA ROSA 44 1º DTO,Rua,1200-388,Lisboa,Lisboa,Coastal Area
RUA GARCIA DE ORTA,Rua,1200-680,Lisboa,Lisboa,Coastal Area
RUA DOS NAVEGANTES,Rua,2750-444,Cascais,Cascais,Coastal Area
TRAVESSA REMOLARES,Travessa,1200-372,Lisboa,Lisboa,Coastal Area
RUA EDUARDO COELHO,Rua,1200-168,Lisboa,Lisboa,Coastal Area
AVENIDA DOM CARLOS,Avenida,1200-646,Lisboa,Lisboa,Coastal Area
RUA CIDADE CABINDA,Rua,1800-080,Lisboa,Lisboa,Coastal Area
PRACETA DO RIO MEÃ,Praceta,2655-353,Ericeira,Mafra,Coastal Area
RUA PRIOR COUTINHO,Rua,1150-272,Lisboa,Lisboa,Coastal Area
1ª RUA DA VERÓNICA,Rua,1170-387,Lisboa,Lisboa,Coastal Area
RUA SAMPAIO E PINA,Rua,1070-250,Lisboa,Lisboa,Coastal Area
RUA DAMIÃO DE GÓIS,Rua,1400-086,Lisboa,Lisboa,Coastal Area
RUA 1º DE DEZEMBRO,,2565-517,Lapas Grandes,Torres Vedras,Not Coastal Area
RUA DOS CAVALEIROS,Beco,1100-131,Lisboa,Lisboa,Coastal Area
RUA BICA DO SAPATO,Beco,1100-091,Lisboa,Lisboa,Coastal Area
RUA SAMPAIO E PINA,Rua,1099-044,Lisboa,Lisboa,Coastal Area
RUA ESPÍRITO SANTO,Rua,1100-223,Lisboa,Lisboa,Coastal Area
RUA PULIDO VALENTE,Rua,2675-670,Odivelas,Odivelas,Coastal Area
RUA DONA ESTEFÂNIA,Rua,1150-130,Lisboa,Lisboa,Coastal Area
RUA PADARIA BL SUL,Praceta,2655-105,Fonte Boa da Brincosa,Mafra,Coastal Area
RUA GOMES FREIRE 1,Rua,1150-175,Lisboa,Lisboa,Coastal Area
RUA ANGELINA VIDAL,Rua,1070-017,Lisboa,Lisboa,Coastal Area
RUA FRANCISCO BAÍA,Rua,1500-279,Lisboa,Lisboa,Coastal Area
RUA DA FONTE MURTA,,2530-077,Casal da Murta,Lourinhã,Coastal Area
RUA LAGOA DE BAIXO,Avenida,2705-329,Praia Grande,Sintra,Coastal Area
LARGO SÃO MARTINHO,Largo,1100-537,Lisboa,Lisboa,Coastal Area
PRAÇA REPÚBLICA 12,Praça,2655-347,Ericeira,Mafra,Coastal Area
RUA SILVA CARVALHO,Rua,1250-258,Lisboa,Lisboa,Coastal Area
1ª RUA DA MADALENA,Rua,1100-319,Lisboa,Lisboa,Coastal Area
RUA MERGULHÃO LOTE,Rua,2750-698,Torre,Cascais,Coastal Area
RUA DOS FANQUEIROS,Rua,1100-228,Lisboa,Lisboa,Coastal Area
1ª RUA PORTO REVEZ,Rua,2655-337,Ericeira,Mafra,Coastal Area
RUA ARY DOS SANTOS,Rua,2740-023,Vila Fria,Oeiras,Coastal Area
RUA AGOSTINHO NETO,Rua,1750-004,Lisboa,Lisboa,Coastal Area
RUA PINHEIRO MANSO,Rua,2655-504,Ericeira,Mafra,Coastal Area
RUA NOVA DO ALMADA,Rua,1200-288,Lisboa,Lisboa,Coastal Area
1ª RUA ACTOR TASSO,Rua,1050-002,Lisboa,Lisboa,Coastal Area
RUA ANGELINA VIDAL,Rua,2645-633,Atibá,Cascais,Coastal Area
RUA PAZ 58 R/C DTO,Rua,1200-320,Lisboa,Lisboa,Coastal Area
TRAVESSA DO COMBRO,Travessa,1200-631,Lisboa,Lisboa,Coastal Area
RUA CHABY PINHEIRO,Rua,1000-096,Lisboa,Lisboa,Coastal Area
PRAÇA FIGUEIRA 9/S,Praça,1100-241,Lisboa,Lisboa,Coastal Area
RUA SÉCULO 9-PORTA,Pátio,1200-433,Lisboa,Lisboa,Coastal Area
RUA CONDE FERREIRA,Rua,2750-346,Cascais,Cascais,Coastal Area
TRAVESSA ALCAIDE 4,Travessa,1200-013,Lisboa,Lisboa,Coastal Area
BECO FORNO DA GALÉ,Beco,1100-253,Lisboa,Lisboa,Coastal Area
TRAVESSA DOS FOCAS,,2560-192,Azenha Velha,Torres Vedras,Coastal Area
RUA CIDADE CARDIFF,Rua,1170-094,Lisboa,Lisboa,Coastal Area
RUA CARLOS DA MAIA,Rua,1350-072,Lisboa,Lisboa,Coastal Area
TRAVESSA SÃO PEDRO,Travessa,1200-432,Lisboa,Lisboa,Coastal Area
CALÇADA LAJES LOTE,Calçada,1900-293,Lisboa,Lisboa,Coastal Area
RUA BARROS QUEIRÓS,Rua,1100-076,Lisboa,Lisboa,Coastal Area
TRAVESSA DO OLIVAL,Travessa,1170-279,Lisboa,Lisboa,Coastal Area
LARGO CONTADOR-MOR,Largo,1100-160,Lisboa,Lisboa,Coastal Area
RUA BARROS QUEIROZ,Rua,1100-076,Lisboa,Lisboa,Coastal Area
RUA FILIPE DA MATA,Rua,1600-070,Lisboa,Lisboa,Coastal Area
RUA DOS ARGONAUTAS,Avenida,1990-079,Lisboa,Lisboa,Coastal Area
RUA HENRIQUE ALVES,Rua,1070-143,Lisboa,Lisboa,Coastal Area
TRAVESSA DA ESPERA,Travessa,1200-010,Lisboa,Lisboa,Coastal Area
RUA DO CAMPO SANTO,Rua,2765-307,Galiza,Cascais,Coastal Area
RUA CRUZ ALCÂNTARA,Rua,1300-153,Lisboa,Lisboa,Coastal Area
RUA VICENTE ARNOSO,Rua,2765-459,São João do Estoril,Cascais,Coastal Area
RUA CORREIA GARÇÃO,Rua,1200-640,Lisboa,Lisboa,Coastal Area
RUA MARIA DA FONTE,Rua,1170-220,Lisboa,Lisboa,Coastal Area
1ª RUA DAS ACÁCIAS,Rua,2750-596,Cascais,Cascais,Coastal Area
RUA DE ARROIOS 168,Calçada,1000-024,Lisboa,Lisboa,Coastal Area
LARGO MISERICÓRDIA,Rua,2705-195,Colares,Sintra,Coastal Area
