street,street_type,zip_code,parish,county,coastal_area
1ª RUA CONSELHEIRO MARTINS DE CARVALHO,Rua,1400-069,Lisboa,Lisboa,Coastal Area
RUA SERPA PINTO TORNEJANDO PARA GARRET,Calçada,1200-394,Lisboa,Lisboa,Coastal Area
RUA SARGENTO ARMANDO MONTEIRO FERREIRA,Rua,1800-329,Lisboa,Lisboa,Coastal Area
AVENIDA EMBAIXADOR ASSIS CHATEAUBRIAND,Avenida,2780-197,Oeiras,Oeiras,Coastal Area
RUA CAPITÃO JOSÉ SOARES DA ENCARNAÇÃO,Rua,1170-073,Lisboa,Lisboa,Coastal Area
RUA DOUTOR CARLOS MANUEL CASCAES BRÁS,Rua,2655-372,Ericeira,Mafra,Coastal Area
RUA ENGENHEIRO JOSÉ ULRICH BUGANVILIA,Rua,2750-629,Cascais,Cascais,Coastal Area
RUA DOUTOR RAÚL LOURES MARQUES COELHO,Rua,2750-259,Birre,Cascais,Coastal Area
AVENIDA DOUTOR BRANDÃO DE VASCONCELOS,Avenida,2705-017,Almoçageme,Sintra,Coastal Area
AVENIDA CONSELHEIRO FERNANDO DE SOUSA,Avenida,1070-072,Lisboa,Lisboa,Coastal Area
CASAL EVARISTO DE CIMA LT. A RC. DTO.,Casal,1350-412,Lisboa,Lisboa,Coastal Area
RUA DONA MARIA CARMO FRAGOSO CARMONA,Rua,2750-428,Cascais,Cascais,Coastal Area
RUA FAIAS URBANIZAÇÃO VILLAS BONITAS,Rua,2750-790,Torre,Cascais,Coastal Area
1ª RUA ANTÓNIO FELICIANO DE CASTILHO,Praceta,2750-750,Torre,Cascais,Coastal Area
1ª TRANSVERSAL RUA SENHORA DA GLÓRIA,Rua,1170-352,Lisboa,Lisboa,Coastal Area
RUA LAGOA CASA DA RAMPA PRAIA GRANDE,Rua,2705-334,Praia Grande,Sintra,Coastal Area
RUA FREI FORTUNATO DE SÃO BOAVENTURA,Rua,1900-243,Lisboa,Lisboa,Coastal Area
AVENIDA MOVIMENTO DAS FORÇAS ARMADAS,Avenida,2710-433,Sintra,Sintra,Coastal Area
LARGO DOUTOR ANTÓNIO JOSÉ DE ALMEIDA,Largo,2710-532,Sintra,Sintra,Coastal Area
ALAMEDA DOUTOR FRANCISCO SÁ CARNEIRO,Alameda,2680-040,Camarate,Loures,Coastal Area
AVENIDA GEN.JOSÉ EST.MORAIS SARMENTO,Avenida,2710-583,Sintra,Sintra,Coastal Area
RUA CONSELHEIRO TELES DE VASCONCELOS,Rua,1800-149,Lisboa,Lisboa,Coastal Area
LARGO DOUTOR ANTÓNIO DE SOUSA MACEDO,Largo,1200-153,Lisboa,Lisboa,Coastal Area
1ª RUA TRAVESSA DO CONVENTO DE JESUS,Travessa,1200-125,Lisboa,Lisboa,Coastal Area
PRAÇA DONA GERTRUDES MARIA DO EGIPTO,,2580-557,Ribafria,Alenquer,Not Coastal Area
AVENIDA DOUTOR ÁLVARO DE VASCONCELOS,Avenida,2710-421,Sintra,Sintra,Coastal Area
RUA VIELA LATERAL Á NOVA DO LOUREIRO,Rua,1200-293,Lisboa,Lisboa,Coastal Area
AVENIDA PROFESSOR ANÍBAL BETTENCOURT,Avenida,1600-189,Lisboa,Lisboa,Coastal Area
1ª TRAVESSA DO SANTO ANTÓNIO À GRAÇA,Travessa,1170-335,Lisboa,Lisboa,Coastal Area
ESTRADA DAS GALEGAS Q MARVÃO R\C DTO,Estrada,2640-049,Ribamar,Mafra,Coastal Area
"RUA JOÃO LÚCIO DE AZEVEDO ""CARUMA"" S",Rua,2750-568,Cobre,Cascais,Coastal Area
RUA ILDO HIRMÓGENES DA SILVA MARQUES,Rua,2530-320,Lourinhã,Lourinhã,Coastal Area
TRAVESSA SÃO MIGUEL BECO DO POCINHO,Travessa,1100-546,Lisboa,Lisboa,Coastal Area
AVENIDA TENENTE CORONEL JOSÉ PESSOA,Avenida,2750-500,Cascais,Cascais,Coastal Area
AVENIDA ENGENHEIRO ARANTES OLIVEIRA,Avenida,1900-222,Lisboa,Lisboa,Coastal Area
RUA MAESTRO PEDRO DE FREITAS BRANCO,Rua,1250-157,Lisboa,Lisboa,Coastal Area
LARGO COMANDANTE JOÃO PEDRO CAETANO,Largo,2705-042,Almoçageme,Sintra,Coastal Area
RUA PROFESSOR BRANQUINHO DA FONSECA,Rua,2775-078,Murtal,Cascais,Coastal Area
TRAVESSA TERREIRO DE SANTA CATARINA,Travessa,1200-462,Lisboa,Lisboa,Coastal Area
"RUA ANDRADE, 38 - VILA BASTOS PORTA",Rua,1170-015,Lisboa,Lisboa,Coastal Area
PRACETA DOUTOR LUÍS FILIPE QUINTELA,Rua,2750-630,Cascais,Cascais,Coastal Area
RUA PADRE AMARO TEIXEIRA DE AZEVEDO,Rua,2710-633,Várzea de Sintra,Sintra,Coastal Area
AVENIDA PROFESSOR DOUTOR EGAS MONIZ,Avenida,2745-764,Queluz,Sintra,Coastal Area
RUA SEBASTIÃO JOSÉ DE CARVALHO MELO,Rua,2750-483,Cascais,Cascais,Coastal Area
RUA DONA JOANA PEDROSO SIMÕES ALVES,Rua,2795-098,Linda a Velha,Oeiras,Coastal Area
1ª RUA MAESTRO PEDRO FREITAS BRANCO,Rua,1200-158,Lisboa,Lisboa,Coastal Area
TRAVESSA RECOLHIMENTO LÁZARO LEITÃO,Travessa,1100-431,Lisboa,Lisboa,Coastal Area
RUA SOUSA MARTINS PATIO DO CERIEIRO,Rua,1050-217,Lisboa,Lisboa,Coastal Area
PRACETA DOUTOR BARBOSA DE MAGALHÃES,Praceta,2775-162,Parede,Cascais,Coastal Area
LARGO ACADEMIA NACIONAL BELAS ARTES,Largo,1200-005,Lisboa,Lisboa,Coastal Area
AVENIDA COMUNIDADES EUROPEIAS TORRE,Avenida,2750-661,Cascais,Cascais,Coastal Area
RUA MAJOR FIGUEIREDO RODRIGUES LOTE,Rua,1800-243,Lisboa,Lisboa,Coastal Area
RUA JOSÉ MÁXIMO DA COSTA EDIF.TORRE,Rua,2530-236,Praia da Areia Branca,Lourinhã,Coastal Area
PRACETA ALPENDRE VIVENDA MIQUELINA,Praceta,2655-420,Ericeira,Mafra,Coastal Area
RUA FAISÕES CONDOMINIO VILA BICUDA,Rua,2750-689,Torre,Cascais,Coastal Area
AVENIDA MARIANO CYRILO DE CARVALHO,Avenida,2765-494,São João do Estoril,Cascais,Coastal Area
2ª RUA DOM ANTÓNIO LUÍS DE MENESES,Rua,2780-048,Oeiras,Oeiras,Coastal Area
TRAVESSA RUA SACADURA CABRAL BLOCO,Travessa,2765-554,São Pedro do Estoril,Cascais,Coastal Area
RUA SACADURA CABRAL LOTE BLOCO C/V,Travessa,2765-554,São Pedro do Estoril,Cascais,Coastal Area
RUA RODELO VILLAS CATARINA LETRA M,Rua,2705-631,Fontanelas,Sintra,Coastal Area
RUA ALTO DA PENA CASAL DO MAREANTE,Rua,2715-366,Sabugo,Sintra,Not Coastal Area
RUA ESCOLA DE MEDICINA VETERINÁRIA,Rua,1000-127,Lisboa,Lisboa,Coastal Area
URBANIZAÇÃO COM. TUR. S. SEBASTIÃO,Largo,2655-364,Ericeira,Mafra,Coastal Area
LARGO SÃO SEBASTIÃO-MOINHOS DO MAR,Largo,2655-364,Ericeira,Mafra,Coastal Area
RUA DOUTOR JOSÉ JOAQUIM DE ALMEIDA,Rua,2780-337,Oeiras,Oeiras,Coastal Area
RUA RIBEIRA DA BALEIA VIV BACALHAU,Rua,2655-350,Ericeira,Mafra,Coastal Area
RUA DOUTOR JOSÉ JOAQUIM DE ALMEIDA,Rua,2775-595,Carcavelos,Cascais,Coastal Area
RUA PROFESSOR DOUTOR EDGAR CARDOSO,Rua,2710-732,Albarraque,Sintra,Coastal Area
ESTRADA RIBEIRA DE JANAS VIV. TOCA,,2705-001,Azoia,Sintra,Coastal Area
RUA FREI FERNÃO RODRIGUES MONTEIRO,Rua,2655-354,Ericeira,Mafra,Coastal Area
RUA PROFESSOR JORGE DA SILVA HORTA,Rua,1500-297,Lisboa,Lisboa,Coastal Area
RUA PROFESSOR FERNANDO SYLVAN LOTE,Rua,2750-345,Cascais,Cascais,Coastal Area
PÁTIO DOUTOR FRANCISCO LUCAS PIRES,Pátio,2775-630,Carcavelos,Cascais,Coastal Area
RUA PARTICULAR À ARCO DO CARVALHÃO,Casal,1070-200,Lisboa,Lisboa,Coastal Area
AVENIDA CLOTILDE ARCADAS DO PARQUE,Avenida,2765-211,Estoril,Cascais,Coastal Area
TRAVESSA DO ROSÁRIO DE SANTA CLARA,Travessa,1100-458,Lisboa,Lisboa,Coastal Area
AVENIDA ANTÓNIO AUGUSTO DE AGUIAR,Avenida,1050-017,Lisboa,Lisboa,Coastal Area
2ª TRAVESSA SANTO ANTÓNIO À GRAÇA,Travessa,1170-335,Lisboa,Lisboa,Coastal Area
TRAVESSA ALTO DOS SEIXOS CASA SOL,,2640-065,Marvão,Mafra,Coastal Area
RUA JORGE FERREIRA DE VASCONCELOS,Avenida,1600-204,Lisboa,Lisboa,Coastal Area
LARGO DA ACADEMIA DAS BELAS ARTES,Largo,1200-005,Lisboa,Lisboa,Coastal Area
TRAVESSA ABARRACAMENTO DE PENICHE,Travessa,1200-001,Lisboa,Lisboa,Coastal Area
1ª RUA DO EMIGRANTE EDF ATLÂNTICO,Rua,2655-269,Ericeira,Mafra,Coastal Area
RUA DOUTOR JOSÉ BAPTISTA DE SOUSA,Rua,1500-244,Lisboa,Lisboa,Coastal Area
RUA PROFESSOR FERNANDO DA FONSECA,Rua,1600-620,Lisboa,Lisboa,Coastal Area
2ª TRAVESSA DE SNT. ANTÓNIO DA SÉ,Travessa,1100-501,Lisboa,Lisboa,Coastal Area
AVENIDA COMBATENTES GRANDE GUERRA,Avenida,1495-040,Algés,Oeiras,Coastal Area
AVENIDA NOSSA SENHORA PURIFICAÇÃO,,2590-430,Casal Novo,Sobral de Monte Agraço,Not Coastal Area
AVENIDA COMUNIDADES EUROPEIAS BL.,Avenida,2750-659,Cascais,Cascais,Coastal Area
AVENIDA ULTRAMAR 83 2º ESQ. BLOCO,Avenida,2750-506,Cascais,Cascais,Coastal Area
1ª VIELA TELHEIROS DE SÃO VICENTE,,1100-593,Lisboa,Lisboa,Coastal Area
RUA DA NORTEJO PARQUE RESIDENCIAL,Rua,2615-354,Alverca do Ribatejo,Vila Franca de Xira,Coastal Area
TRAVESSA ENGENHEIRO MANUEL GASPAR,Rua,2750-779,Cascais,Cascais,Coastal Area
RUA EDUARDO HENRIQUES PEREIRA B/C,Rua,2655-267,Ericeira,Mafra,Coastal Area
ALAMEDA COMBATENTES GRANDE GUERRA,Alameda,2750-326,Cascais,Cascais,Coastal Area
RUA DOUTOR MANUEL MARQUES DA MATA,Rua,2775-602,Carcavelos,Cascais,Coastal Area
RUA PROFESSOR REINALDO DOS SANTOS,Rua,1500-506,Lisboa,Lisboa,Coastal Area
1ª RUA PROFESSOR EGAS MONIZ BLOCO,Rua,2655-400,Ericeira,Mafra,Coastal Area
AVENIDA ENGENHEIRO DUARTE PACHECO,Avenida,1070-100,Lisboa,Lisboa,Coastal Area
RUA VALE FLORES QUINTA ALTOSERENO,Largo,2710-690,Sintra,Sintra,Coastal Area
RUA DOUTOR JOSÉ DA SILVA CARVALHO,Rua,2715-776,Lameiras,Sintra,Coastal Area
RUA DOUTOR FRANCISCO SENA ESTEVES,Rua,2560-484,Santa Cruz,Torres Vedras,Coastal Area
RUA PRACETA NELSON GOMES SALVADOR,Rua,2655-242,Ericeira,Mafra,Coastal Area
PRACETA NOSSA SENHORA DA ASSUNÇÃO,Praceta,2750-449,Cascais,Cascais,Coastal Area
PRACETA JUIZ CARLOS LOPES QUADROS,Praceta,2775-695,Rebelva,Cascais,Coastal Area
ESTRADA LEXIM CASA SHANTI PENEDO,Estrada,2640-362,Igreja Nova,Mafra,Coastal Area
RUA DOUTOR ANTÓNIO DIAS PINHEIRO,Rua,2750-294,Cascais,Cascais,Coastal Area
RUA PRUDÊNCIO FRANCO DA TRINDADE,Rua,2655-344,Ericeira,Mafra,Coastal Area
AVENIDA DOM NUNO ÁLVARES PEREIRA,Avenida,2765-261,Estoril,Cascais,Coastal Area
BECO DO OUTEIRINHO DA AMENDOEIRA,Arco,1100-036,Lisboa,Lisboa,Coastal Area
PRACETA FREI NICOLAU DE OLIVEIRA,Praceta,2750-646,Cascais,Cascais,Coastal Area
RUA ENFERMEIRAS DA GRANDE GUERRA,Rua,1170-118,Lisboa,Lisboa,Coastal Area
RUA DOM FRANCISCO MANUEL DE MELO,Rua,1070-085,Lisboa,Lisboa,Coastal Area
AVENIDA INFANTE DOM HENRIQUE N/A,Avenida,1950-408,Lisboa,Lisboa,Coastal Area
TRAVESSA DE SANTO ANTÓNIO SANTOS,Rua,1200-811,Lisboa,Lisboa,Coastal Area
ALAMEDA CORONEL LINHARES DE LIMA,Alameda,2705-351,Colares,Sintra,Coastal Area
RUA DOUTOR RUI GOMES DE OLIVEIRA,Rua,1800-184,Lisboa,Lisboa,Coastal Area
RUA DOUTOR AUGUSTO JOSÉ DA CUNHA,Rua,1495-240,Algés,Oeiras,Coastal Area
RUA BERNARDA FERREIRA DE LACERDA,Rua,1700-059,Lisboa,Lisboa,Coastal Area
ESCADINHAS COSTA DO CASTELO VILA,Vila,1100-180,Lisboa,Lisboa,Coastal Area
RUA FRANCISCO DE ASSIS RODRIGUES,Rua,1070-131,Lisboa,Lisboa,Coastal Area
AVENIDA NOSSA SENHORA DO ROSARIO,Avenida,2750-179,Cascais,Cascais,Coastal Area
ESTRADA PRAIA AZUL CASAL ZIMBRAL,Rua,2560-411,Boavista,Torres Vedras,Coastal Area
PRACETA GENERAL EDUARDO GALHARDO,Praceta,2775-565,Carcavelos,Cascais,Coastal Area
ACESSO QUINTA DA MANGARREIRA S/N,,2615-375,Casal Corvões,Vila Franca de Xira,Coastal Area
RUA DOS FERREIROS SANTA CATARINA,Rua,1200-186,Lisboa,Lisboa,Coastal Area
RUA DOM ANTÓNIO CAETANO DE SOUSA,Rua,1500-222,Lisboa,Lisboa,Coastal Area
PRACETA ESTRADA FONTE VELHA CASA,Travessa,2750-535,Areia,Cascais,Coastal Area
AVENIDA ANTÓNIO GARCIA DE CASTRO,Rua,2705-297,Praia das Maçãs,Sintra,Coastal Area
RUA FRANCISCO DA CONCEIÇÃO SILVA,Rua,1600-014,Lisboa,Lisboa,Coastal Area
RUA EDUARDO FREDERICO DOS SANTOS,Rua,2750-336,Cascais,Cascais,Coastal Area
RUA DR. FRANCISCO DE SÁ CARNEIRO,,2580-408,Penedos de Alenquer,Alenquer,Not Coastal Area
AVENIDA GENERAL EDUARDO GALHARDO,Avenida,2775-564,Carcavelos,Cascais,Coastal Area
AVENIDA DE PAIMOGO BAIRRO MATIAS,Avenida,2530-214,Praia da Areia Branca,Lourinhã,Coastal Area
AVENIDA DOM NUNO ALVARES PEREIRA,Avenida,2765-261,Estoril,Cascais,Coastal Area
AVENIDA DOM FRANCISCO DE ALMEIDA,Avenida,2710-562,Sintra,Sintra,Coastal Area
AVENIDA NOSSA SENHORA DO ROSÁRIO,Avenida,2750-179,Cascais,Cascais,Coastal Area
PRACETA PINHAL DO ESPÍRITO SANTO,Rua,2705-123,Praia das Maçãs,Sintra,Coastal Area
RUA SÃO PEDRO DO ARIEIRO M RC DT,Rua,2780-296,Oeiras,Oeiras,Coastal Area
RUA MARIA AMÁLIA VAZ DE CARVALHO,Rua,1700-295,Lisboa,Lisboa,Coastal Area
RUA ALMIRANTE SARMENTO RODRIGUES,Rua,1900-882,Lisboa,Lisboa,Coastal Area
RUA ANTÓNIO PALHA FIGUEIRÔA REGO,Praceta,2560-461,Santa Cruz,Torres Vedras,Coastal Area
2ª RUA VILA MIGUEIS ENTRADA PELO,Campo,1700-096,Lisboa,Lisboa,Coastal Area
