fk,listings_id
40,6199672
40,3792358
40,22631864
40,1954421
41,2600393
41,6691722
42,22274381
43,31708439
43,6050217
44,10834127
45,12672860
45,12259738
45,12184402
46,32482349
47,36232261
47,29981239
47,36231146
47,36232646
47,36233121
48,35906790
48,35649147
49,33271041
49,12490141
49,12489683
49,12375453
49,33274408
49,33274822
49,33274148
49,33275022
49,33275266
49,33275508
50,27341276
50,18664479
50,9490192
51,27089469
51,3353143
51,21396883
51,25714450
51,27330646
52,34784247
53,33371227
53,33327307
53,20626905
53,19732567
53,20325904
53,21672940
53,33328022
53,38795844
54,23405034
54,28068802
54,26451751
54,38952899
55,456907
56,23306528
57,21149268
57,17901140
57,30715155
57,13704271
57,14479877
57,15129885
57,25469316
57,28953953
57,34490517
57,41334315
57,9905445
57,7049864
57,11655674
57,10189070
57,10146308
57,5692815
57,4508833
57,1333582
57,16599980
57,19553723
57,21537902
57,23730406
57,26254533
57,26268577
57,26278588
57,29922540
57,36550224
57,28116572
57,28533286
57,19358769
57,17072205
57,15185743
57,8222537
57,3932263
57,20188326
57,29116972
57,34248865
57,29329827
57,41553859
57,17650452
57,18592223
57,38405319
57,41759618
58,32125496
59,6589519
60,25186860
61,28998433
62,24172622
62,21074822
62,17979386
62,19238266
62,32290120
62,28755529
62,26801223
62,674051
62,24332230
62,24093476
62,30030744
62,30199514
62,30199201
62,32559645
62,32774783
62,27007337
62,29587244
62,24893223
62,19605218
62,19856831
62,20355892
62,23056591
62,5867421
63,41579033
64,28300036
64,27953818
64,34573309
64,28998754
64,22641971
64,18456539
64,279549
64,22643055
64,22642637
64,22643327
64,22643883
64,24578928
64,22644841
64,22644746
64,22644587
64,22644501
64,30084620
64,24988516
64,37589263
64,37590076
64,39440491
64,17916636
64,12364360
64,12375565
64,19765413
64,19818407
64,19927434
65,13899282
65,19047511
65,34251562
65,36075401
66,8730784
67,30780546
67,5264315
68,15006723
68,18911686
68,25771215
68,25885305
68,32302327
68,25886300
68,25886138
68,25885990
69,26315493
69,37088505
69,28732782
69,21866042
69,30526893
69,39878011
69,28753876
69,28753555
69,28751696
69,32455740
69,40539755
69,10879540
70,34596571
70,33216487
70,40519916
71,17108590
72,27508254
72,31351176
72,33131005
72,36976949
73,12961350
74,27136794
75,22956447
75,23677683
75,39219943
76,31466050
76,21615976
76,33874811
76,28467321
77,29650134
78,5267674
78,30551619
79,32465164
79,32465706
79,32481625
79,28480539
80,34971001
80,6602467
80,12443419
80,17449057
80,34556162
80,1412335
80,6922192
80,13502389
80,18040305
80,32482371
80,26355092
80,25918346
80,24775936
80,23744308
80,22275389
80,33356722
80,33355365
80,33355149
80,33179882
80,21173139
80,39000493
81,26313702
81,24224010
82,8543644
82,650820
