property_type_category,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type
House,Cottage,Entire home/apt,Up to 7 guests or more,3 bathrooms,T3,4+ beds,Real Bed
Apartment,Apartment,Entire home/apt,Up to 4 guests,2 bathrooms,T0,1 bed,Real Bed
House,Villa,Private room,Up to 2 guests,3 bathrooms,T1,2 beds,Real Bed
House,Villa,Private room,Up to 2 guests,4+ bathrooms,T4+,1 bed,Real Bed
House,Villa,Private room,Up to 2 guests,3 bathrooms,T1,1 bed,Real Bed
Apartment,Serviced apartment,Hotel room,Up to 2 guests,2 bathrooms,T1,2 beds,Real Bed
Apartment,Loft,Entire home/apt,Up to 2 guests,1 bathroom,T1,No beds,Real Bed
Apartment,Serviced apartment,Private room,Up to 2 guests,2 bathrooms,T1,1 bed,Real Bed
Hotel/Hostel,Hotel,Private room,Up to 2 guests,1 bathroom,T1,1 bed,Real Bed
Hotel/Hostel,Hotel,Private room,Up to 4 guests,1 bathroom,T1,1 bed,Real Bed
Apartment,Aparthotel,Private room,Up to 7 guests or more,No bathrooms,T0,No beds,Real Bed
Guesthouse,Guest suite,Entire home/apt,Up to 4 guests,1 bathroom,T2,2 beds,Real Bed
Hotel/Hostel,Hotel,Hotel room,Up to 2 guests,2 bathrooms,T1,2 beds,Real Bed
Hotel/Hostel,Hotel,Hotel room,Up to 2 guests,2 bathrooms,T1,1 bed,Real Bed
Apartment,Serviced apartment,Entire home/apt,Up to 7 guests or more,3 bathrooms,T4+,4+ beds,Real Bed
Hotel/Hostel,Hotel,Hotel room,Up to 4 guests,1 bathroom,T1,3 beds,Real Bed
Apartment,Apartment,Entire home/apt,Up to 2 guests,2 bathrooms,T0,No beds,Real Bed
Hotel/Hostel,Boutique hotel,Hotel room,Up to 6 guests,1 bathroom,T2,3 beds,Real Bed
Hotel/Hostel,Boutique hotel,Hotel room,Up to 6 guests,2 bathrooms,T2,3 beds,Real Bed
Apartment,Serviced apartment,Hotel room,Up to 7 guests or more,1 bathroom,T2,4+ beds,Real Bed
Hotel/Hostel,Hostel,Hotel room,Up to 7 guests or more,4+ bathrooms,T1,1 bed,Real Bed
Hotel/Hostel,Hostel,Hotel room,Up to 4 guests,4+ bathrooms,T1,1 bed,Real Bed
Hotel/Hostel,Hostel,Hotel room,Up to 2 guests,4+ bathrooms,T3,2 beds,Real Bed
Apartment,Apartment,Entire home/apt,Up to 6 guests,3 bathrooms,T4+,3 beds,Real Bed
