,year,parish,count,property_type_category,cp
588141,2017,Camarate,1,Apartment,8670-416
588653,2017,Casal Arneiro da Vinha,1,House,2560-57
588654,2017,Casal Casica,1,Hotel/Hostel,2560-46
588655,2017,Casal Marcelino,2,House,2565-589
588656,2017,Cesaredas,1,House,2530-573
588692,2019,Cesaredas,1,House,2530-573
588728,2017,Charneca,1,Apartment,4550-362
588822,2017,Charneca,1,Hotel/Hostel,4550-362
588916,2017,Charneca,3,House,4550-362
589010,2019,Charneca,1,Apartment,4550-362
589104,2019,Charneca,2,House,4550-362
589198,2017,Codiceira,1,House,6100-637
589201,2017,Cruz Quebrada,1,Apartment,1495-709
589258,2018,Cruz Quebrada,2,Apartment,1495-709
589315,2017,Estalagem,1,House,3090-414
589322,2018,Estalagem,1,House,3090-414
589329,2017,Eugaria,1,House,2705-200
589340,2017,Igreja Nova,1,House,4750-505
589579,2018,Igreja Nova,1,Guesthouse,4750-505
589818,2018,Igreja Nova,4,House,4750-505
590057,2017,Janas,6,House,2710-285
590131,2018,Janas,3,House,2710-285
590205,2019,Janas,1,Guesthouse,2710-285
590279,2017,Lagoa,1,House,7630-348
590771,2018,Lagoa,1,Apartment,7630-348
591263,2019,Lagoa,1,House,7630-348
591755,2017,Lapa da Serra,1,Guesthouse,2655-116
591770,2017,Laveiras,1,Apartment,2760-9
591850,2019,Laveiras,3,Apartment,2760-9
591930,2017,Lombos,2,Apartment,8400-411
591972,2018,Lombos,3,Apartment,8400-411
592014,2018,Lombos,1,House,8400-411
592056,2019,Lombos,7,Apartment,8400-411
592098,2019,Lombos,1,House,8400-411
592140,2017,Loures,1,House,2670-331
592692,2019,Loures,1,Apartment,2670-331
593244,2017,Lourinhã,1,Apartment,2530-128
593426,2017,Lourinhã,1,House,2530-128
593608,2018,Lourinhã,1,House,2530-128
593790,2019,Lourinhã,1,House,2530-128
593972,2017,Lousa,1,House,3750-22
594253,2019,Lousa,1,House,3750-22
594534,2017,Maxial,1,House,3320-54
594593,2017,Mucifal,5,House,2705-355
594679,2018,Mucifal,4,House,2705-355
594765,2019,Mucifal,1,House,2705-355
594851,2017,Olhalvo,1,Apartment,2580-233
594894,2017,Pontinha,2,Apartment,6160-460
595472,2018,Pontinha,5,Apartment,6160-460
596050,2017,Portela,1,Apartment,4540-236
