,year,parish,count,property_type_category,cp
528250,2019,São João do Estoril,3,Apartment,2765-461
528334,2014,Ulgueira,1,House,2705-349
528335,2015,Ulgueira,2,House,2705-349
528336,2015,A dos Cunhados,1,House,2560-6
528418,2017,A dos Cunhados,1,Apartment,2560-6
528500,2018,A dos Cunhados,1,House,2560-6
528582,2015,Alcabideche,1,Apartment,2755-17
528970,2015,Alcabideche,1,House,2755-17
529358,2016,Alcabideche,1,House,2755-17
529746,2017,Alcabideche,2,House,2755-17
530134,2018,Alcabideche,4,Apartment,2755-17
530522,2018,Alcabideche,1,House,2755-17
530910,2019,Alcabideche,1,House,2755-17
531298,2015,Alcoitão,1,House,2645-270
531460,2015,Algés,1,Apartment,1495-66
531629,2016,Algés,1,Apartment,1495-66
531798,2016,Algés,2,Hotel/Hostel,1495-66
531967,2017,Algés,2,Apartment,1495-66
532136,2018,Algés,9,Apartment,1495-66
532305,2019,Algés,1,Apartment,1495-66
532474,2015,Amadora,1,Apartment,2720-515
534528,2016,Amadora,6,Apartment,2720-515
536582,2017,Amadora,9,Apartment,2720-515
538636,2018,Amadora,12,Apartment,2720-515
540690,2018,Amadora,1,House,2720-515
542744,2019,Amadora,8,Apartment,2720-515
544798,2019,Amadora,1,House,2720-515
546852,2015,Areia,1,House,4740-77
546995,2018,Areia,2,Apartment,4740-77
547138,2018,Areia,1,House,4740-77
547281,2015,Bairro de Santo António,1,Apartment,2765-596
547331,2015,Bairro de Santo António,2,Guesthouse,2765-596
547381,2016,Bairro de Santo António,1,Apartment,2765-596
547431,2018,Bairro de Santo António,1,Apartment,2765-596
547481,2018,Bairro de Santo António,1,House,2765-596
547531,2015,Beira,1,House,4525-302
547534,2015,Birre,4,House,2750-53
547625,2018,Birre,1,Hotel/Hostel,2750-53
547716,2018,Birre,9,House,2750-53
547807,2019,Birre,3,House,2750-53
547898,2015,Carcavelos,4,Apartment,3720-504
548096,2015,Carcavelos,3,House,3720-504
548294,2016,Carcavelos,3,Apartment,3720-504
548492,2016,Carcavelos,1,Hotel/Hostel,3720-504
548690,2016,Carcavelos,3,House,3720-504
548888,2017,Carcavelos,3,Apartment,3720-504
549086,2017,Carcavelos,3,Hotel/Hostel,3720-504
549284,2017,Carcavelos,4,House,3720-504
549482,2018,Carcavelos,7,Apartment,3720-504
549680,2019,Carcavelos,2,Apartment,3720-504
549878,2019,Carcavelos,1,House,3720-504
550076,2015,Carnaxide,1,Apartment,2790-260
550464,2015,Carnaxide,1,House,2790-260
550852,2017,Carnaxide,2,Apartment,2790-260
551240,2018,Carnaxide,1,Apartment,2790-260
551628,2018,Carnaxide,1,Guesthouse,2790-260
552016,2019,Carnaxide,1,Apartment,2790-260
552404,2015,Carrascal,7,Hotel/Hostel,7665-891
552471,2017,Carrascal,1,House,7665-891
552538,2018,Carrascal,1,House,7665-891
552605,2019,Carrascal,1,House,7665-891
552672,2015,Carvoeira,1,House,3360-179
552754,2017,Carvoeira,1,House,3360-179
552836,2018,Carvoeira,1,House,3360-179
552918,2015,Casais de Cabrela,1,House,2715-774
552929,2015,Casais de Monte Bom,1,House,2640-59
552930,2016,Casais de Monte Bom,1,House,2640-59
552931,2019,Casais de Monte Bom,1,House,2640-59
552932,2015,Casal da Granja,4,House,2500-334
552956,2016,Casal da Granja,2,Apartment,2500-334
552980,2017,Casal da Granja,1,Hotel/Hostel,2500-334
553004,2018,Casal da Granja,1,House,2500-334
553028,2015,Casal Ventoso,1,House,2560-42
553031,2016,Casal Ventoso,2,Apartment,2560-42
553034,2017,Casal Ventoso,2,Apartment,2560-42
553037,2019,Casal Ventoso,1,Apartment,2560-42
553040,2015,Cobre,1,House,2750-552
553142,2016,Cobre,1,Apartment,2750-552
553244,2016,Cobre,2,House,2750-552
553346,2017,Cobre,2,Apartment,2750-552
553448,2017,Cobre,1,House,2750-552
553550,2018,Cobre,1,Apartment,2750-552
553652,2019,Cobre,3,Hotel/Hostel,2750-552
553754,2019,Cobre,1,House,2750-552
553856,2015,Fonte Boa da Brincosa,2,Apartment,2655-9
553920,2016,Fonte Boa da Brincosa,3,Apartment,2655-9
553984,2017,Fonte Boa da Brincosa,2,Apartment,2655-9
554048,2018,Fonte Boa da Brincosa,2,Apartment,2655-9
554112,2018,Fonte Boa da Brincosa,2,House,2655-9
554176,2019,Fonte Boa da Brincosa,2,Apartment,2655-9
554240,2019,Fonte Boa da Brincosa,2,House,2655-9
554304,2015,Lapas Grandes,1,House,2565-517
554305,2015,Linda-a-Pastora,1,House,2790-417
554375,2017,Linda-a-Pastora,1,House,2790-417
554445,2015,Mafra,1,House,2640-431
554952,2016,Mafra,1,Guesthouse,2640-431
555459,2016,Mafra,1,House,2640-431
555966,2017,Mafra,3,House,2640-431
556473,2018,Mafra,3,Apartment,2640-431
556980,2018,Mafra,2,House,2640-431
557487,2019,Mafra,1,House,2640-431
557994,2015,Manique de Baixo,1,House,2645-321
558027,2015,Marvão,1,Apartment,4540-708
558077,2015,Marvão,1,House,4540-708
558127,2016,Marvão,1,House,4540-708
558177,2018,Marvão,1,House,4540-708
558227,2015,Monte Estoril,4,Apartment,7050-670
558367,2015,Monte Estoril,2,House,7050-670
558507,2016,Monte Estoril,3,Apartment,7050-670
558647,2017,Monte Estoril,6,Apartment,7050-670
558787,2017,Monte Estoril,3,Guesthouse,7050-670
558927,2017,Monte Estoril,2,House,7050-670
559067,2018,Monte Estoril,12,Apartment,7050-670
559207,2018,Monte Estoril,2,House,7050-670
559347,2019,Monte Estoril,6,Apartment,7050-670
559487,2019,Monte Estoril,1,Guesthouse,7050-670
559627,2019,Monte Estoril,1,House,7050-670
559767,2015,Montejunto,2,House,2550-367
559768,2018,Montejunto,1,House,2550-367
559769,2015,Odrinhas,1,House,2705-739
559810,2015,Paço de Arcos,1,Apartment,2770-228
560047,2016,Paço de Arcos,2,Apartment,2770-228
560284,2017,Paço de Arcos,6,Apartment,2770-228
