,year,parish,count,cp
261097,2018,Livramento,1,2480-162
261229,2018,Tires,1,2785-244
261515,2019,Tires,1,2785-244
261801,2018,Madorna,1,2785-760
261850,2018,Cardosas,1,2630-433
261913,2018,Arneiro de Arreganha,1,2705-408
261920,2018,Outeiro de Polima,1,2785-513
261992,2018,Baleia,1,2655-129
262033,2018,Freiria,1,4740-437
262117,2018,Mercês,3,7160-15
262195,2018,Odivelas,8,7900-374
262858,2019,Odivelas,3,7900-374
263521,2018,Pai do Vento,2,2755-273
263551,2019,Pai do Vento,5,2755-273
263581,2018,Reguengo Pequeno,2,2530-694
263608,2018,Maceira,1,5335-135
263755,2018,Chã,2,4540-30
263824,2018,Apelação,1,2680-325
263914,2018,Venda do Pinheiro,2,2665-496
264159,2018,Zambujeira,2,7700-221
264209,2018,Sobral,1,3880-101
264323,2018,Bracial,1,3060-584
264325,2018,Ramada,1,4520-158
264780,2018,Arruda dos Vinhos,1,2630-192
265027,2018,Queijas,1,2790-388
265172,2018,Gradil,1,2665-142
265242,2018,Rana,1,2785-563
265325,2018,Vimeiro,1,7630-366
265382,2018,Fontelas,2,4860-280
265488,2018,Casal de Cambra,5,2605-895
265748,2018,Coutada,1,4850-288
265811,2018,Almorquim,2,2705-834
265812,2018,Casal do Labrusque,1,2530-56
265813,2018,Barcarena,1,2730-305
265916,2018,Lameiras,1,3740-41
265972,2018,Amoreira,2,6150-313
266223,2018,Monte Leite,1,2765-281
266239,2018,Bucelas,2,2674-508
266375,2018,Murtal,1,3250-417
266473,2019,Murtal,3,3250-417
266571,2019,Bicesse,5,2645-528
266704,2019,Foz do Lizandro,1,2655-130
266712,2019,Monte Arroio,1,2705-701
266713,2019,Quinta de São José,2,2600-710
266719,2019,Casal das Curtinhas,1,2530-564
266722,2019,Freixial,1,6230-771
266733,2019,Sassoeiros,1,2775-530
266847,2019,Póvoa,1,3850-829
267001,2019,Póvoa de Santa Iria,2,2625-39
267311,2019,Dafundo,1,1495-724
267366,2019,Amoeiras,1,2560-449
267367,2019,Casalinhos de Alfaiata,2,2560-428
