municLabel,parishLabel,lon,lat
Sabugal,Pousafoles do Bispo,-7.19329,40.40899
Sabugal,Pousafoles do Bispo,-7.179166666,40.41222222
Vila Nova de Famalicão,Vale (São Martinho),-8.485833333,41.43083333
Vila Nova de Famalicão,Vale (São Martinho),-8.47704,41.42835
Mealhada,Antes,-8.47528,40.3833
Alcobaça,Martingança,-8.95923,39.69092
Sertã,Sertã,-8.100277777,39.80083333
Sertã,Sertã,-8.09497,39.8244
Alenquer,Ota,-8.989722222,39.11
Valpaços,Vilarandelo,-7.325833333,41.66305556
Proença-a-Nova,Sobreira Formosa,-7.851944444,39.77194444
Cuba,Cuba,-7.9,38.16666667
Santarém,Almoster,-8.793333333,39.24166667
Castanheiro do Norte e Ribalonga,Ribalonga,-7.393611111,41.22027778
Pussos São Pedro,Pussos,-8.372,39.80012
Pussos São Pedro,Pussos,-8.358888888,39.81222222
Albufeira,Guia,-8.301111111,37.12638889
Albufeira,Guia,-8.29963,37.12959
"Camarate, Unhos e Apelação",Unhos,-9.121388888,38.82583333
"Oliveira de Frades, Souto de Lafões e Sejães",Oliveira de Frades,-8.176666666,40.73138889
Torre de Moncorvo,Lousa,-7.179722222,41.16472222
Moita,Alhos Vedros,-9.016666666,38.65
Vila Nova de Foz Côa,Santo Amaro,-7.168611111,41.10222222
Monção,Lara,-8.52938,42.03836
Monção,Lara,-8.526388888,42.04388889
Viana do Castelo,Perre,-8.788333333,41.73277778
Viana do Castelo,Perre,-8.78939,41.73453
Lousada,Figueiras,-8.319722222,41.28166667
Vila Nova de Cerveira,Cornes,-8.67991,41.94758
Vila Nova de Cerveira,Cornes,-8.68,41.955
Mirandela,São Salvador,-7.150555555,41.44722222
Caniçada e Soengas,Caniçada,-8.206944444,41.64138889
Caniçada e Soengas,Caniçada,-8.20644,41.64384
Valongo,Sobrado,-8.4625,41.21027778
Terras de Bouro,Monte,-8.24875,41.69559
Miragaia e Marteleira,Miragaia,-9.265,39.23583333
Viseu,Silgueiros,-7.95363,40.56836
Póvoa de Lanhoso,Geraz do Minho,-8.29481,41.59983
Póvoa de Lanhoso,Geraz do Minho,-8.293055555,41.60138889
Alvalade,São João de Brito,-9.137777777,38.755
Lousada,Lustosa,-8.31312,41.33173
Esposende,Vila Chã,-8.747222222,41.57305556
Santa Maria da Feira,Fornos,-8.527222222,40.91666667
Amarante,Várzea,-8.00164,41.26118
Alenquer (Santo Estêvão e Triana),Santo Estêvão,-9.015833333,39.04222222
Paredes de Coura e Resende,Paredes de Coura,-8.559722222,41.91111111
Macedo de Cavaleiros,Lombo,-6.84805,41.45286
Macedo de Cavaleiros,Lombo,-6.8525,41.45805556
Alvalade,Campo Grande,-9.153611111,38.75694444
Fafe,Seidões,-8.1227,41.40692
Fafe,Seidões,-8.117777777,41.40861111
Fonte Arcada e Oliveira,Fontarcada,-8.273611111,41.5775
Fonte Arcada e Oliveira,Fontarcada,-8.24385,41.57591
Arcos de Valdevez,Carralcova,-8.36,41.8925
Arcos de Valdevez,Carralcova,-8.35766,41.89609
"Mogadouro, Valverde, Vale de Porco e Vilar de Rei",Mogadouro,-6.71233,41.32775
"Mogadouro, Valverde, Vale de Porco e Vilar de Rei",Mogadouro,-6.72,41.33916667
Oliveira do Mondego e Travanca do Mondego,Travanca do Mondego,-8.188611111,40.32555556
Ourém,Casal dos Bernardos,-8.522222222,39.75888889
Mirandela,Suçães,-7.258611111,41.49666667
Amarante,Rebordelo,-7.984722222,41.34416667
"Messegães, Valadares e Sá",Valadares,-8.355277777,42.07944444
"Messegães, Valadares e Sá",Valadares,-8.35463,42.07974
Odemira,São Luís,-8.66216,37.69466
Odemira,São Luís,-8.65,37.7
Vila Nova de Famalicão,Lagoa,-8.491388888,41.38111111
Melgaço,Gave,-8.293888888,42.045
Santa Maria Maior,São Miguel,-9.129444444,38.71111111
Melgaço,São Paio,-8.237530555,42.08438889
Vila Nova de Famalicão,Vilarinho das Cambas,-8.56232,41.38615
Braga,Morreira,-8.405833333,41.49694444
Torre e Vila Mou,Vila Mou,-8.70078,41.72855
Ajuda,São Francisco Xavier,-9.217222222,38.70722222
Belém,São Francisco Xavier,-9.217222222,38.70722222
Tomar (São João Baptista) e Santa Maria dos Olivais,Santa Maria Dos Olivais,-8.4,39.60305556
Ponte da Barca,São Tomé de Vade,-8.40512,41.7837
Vila Real de Santo António,Vila Real de Santo António,-7.414722222,37.195
Vila Nova de Famalicão,Carreira,-8.43879,41.37543
Santa Cruz da Graciosa,Luz,-27.98944444,39.02388889
Vila Verde,Pedregais,-8.476944444,41.69972222
Fafe,Golães,-8.19739,41.45901
Fafe,Golães,-8.195833333,41.46694444
Guimarães,Mascotelos,-8.309722222,41.41944444
Guimarães,Mascotelos,-8.30995,41.42557
Silves,Tunes,-8.259444444,37.16666667
Santa Maria Maior,Castelo,-9.133333333,38.71361111
Vila Real,Guiães,-7.661111111,41.20888889
"Taveiro, Ameal e Arzila",Taveiro,-8.509444444,40.20222222
